Date,AAPL,MSFT,JPM,BAC,JNJ,PFE,XOM,CVX,PG,KO
2015-03-13,27.455992,35.366035,45.170956,12.669509,72.749886,19.796673,52.018440,62.801891,59.736652,28.065928
2015-03-16,27.758121,35.519897,45.800388,12.701005,74.106491,20.052864,52.570457,63.735062,60.999531,28.333158
2015-03-17,28.222429,35.639538,45.622658,12.669509,73.248543,19.895647,52.148701,63.759792,60.481258,28.487869
2015-03-18,28.540108,36.323269,45.726337,12.582895,74.399834,20.017923,53.382946,65.941360,61.138256,28.551155
2015-03-19,28.324615,36.143791,45.319065,12.291551,74.568451,19.884012,52.353371,64.736237,60.868137,28.143290
2015-03-20,27.969172,36.648041,45.726337,12.472656,75.089104,19.942230,52.434006,66.145271,61.860947,28.586313
2015-03-23,28.260191,36.630955,45.274632,12.378166,75.514420,20.408043,52.986000,65.459297,61.948570,28.565216
2015-03-24,28.144676,36.665134,44.771095,12.291551,74.766449,20.099445,52.421593,64.396347,61.262363,28.459742
2015-03-25,27.409346,35.434418,44.141663,12.134067,73.578514,19.971346,52.632484,65.304787,60.598057,28.445671
2015-03-26,27.600403,35.220741,44.089817,12.141944,73.431847,19.889828,52.297554,65.045242,59.970238,28.375345
2015-03-27,27.380455,35.015640,44.097221,12.055328,73.578514,20.105268,51.838581,64.445778,60.087048,28.185486
2015-03-30,28.073584,35.007080,45.141338,12.220689,74.465813,20.378925,53.110062,66.064949,60.386341,28.487869
2015-03-31,27.642611,34.750690,44.859943,12.118322,73.769211,20.256647,52.719299,64.878357,59.816929,28.516001
2015-04-01,27.602621,34.801968,44.688503,12.134067,72.705910,19.988810,52.384384,64.760963,60.094334,28.607426
2015-04-02,27.840319,34.434448,45.113400,12.236432,73.065208,20.017923,52.285160,65.063782,60.174637,28.607426
2015-04-06,28.291294,35.511337,45.076122,12.212811,72.713242,20.076145,52.799950,66.077324,60.619949,28.951998
2015-04-07,27.993612,35.494232,45.359383,12.173440,73.402534,20.111086,53.184490,67.078499,60.145443,28.839476
2015-04-08,27.902529,35.400227,45.508472,12.291551,73.446533,20.169310,52.136288,65.916641,60.422848,28.755091
2015-04-09,28.115795,35.451504,45.821545,12.370291,74.304474,20.396391,52.502239,66.095833,60.510452,28.867603
2015-04-10,28.235754,35.656631,45.993000,12.378166,74.839775,20.635115,53.066647,66.071144,60.846264,28.748068
2015-04-13,28.180218,35.690807,46.268803,12.441160,73.732498,20.431328,52.930180,65.817764,60.904644,28.621485
2015-04-14,28.058033,35.596798,46.991867,12.456906,73.710518,20.396391,53.730293,67.263885,61.028744,28.487869
2015-04-15,28.164667,36.118149,47.864037,12.315173,73.769211,20.501202,54.629604,68.234169,60.963047,28.410511
2015-04-16,28.029148,36.032681,47.565857,12.433281,73.175209,20.489553,54.412540,68.079666,60.955761,28.551155
2015-04-17,27.713690,35.571167,46.842781,12.252185,73.021217,20.402214,53.916344,67.430756,60.247631,28.340181
2015-04-20,28.346832,36.673679,47.140961,12.260056,73.483185,20.384743,54.108604,68.159988,60.495842,28.593349
2015-04-21,28.193537,36.442917,46.447701,12.204939,73.549210,20.314875,53.885319,67.813911,60.649151,28.677744
2015-04-22,28.573429,36.742058,46.917332,12.393912,73.644516,20.338163,54.245075,67.671768,60.656429,29.050457
2015-04-23,28.806692,37.041187,46.812965,12.354545,73.666534,20.588535,54.294682,67.962242,59.569523,28.797293
2015-04-24,28.942213,40.912819,46.663891,12.315173,74.121140,20.536135,53.941154,67.900429,59.606335,28.755091
2015-04-27,29.468710,41.049553,46.470062,12.252185,73.754509,20.140202,53.965958,67.795372,59.311993,28.712896
2015-04-28,29.004412,42.015343,46.783146,12.323046,73.871849,20.076145,54.455933,68.672958,59.179527,28.670710
2015-04-29,28.577871,41.929878,47.409321,12.582895,73.615204,19.965517,54.499348,69.049927,58.760075,28.473808
2015-04-30,27.802555,41.570915,47.155861,12.543524,72.742561,19.755905,54.189240,68.635880,58.509880,28.523033
2015-05-01,28.646742,41.588013,47.416759,12.685257,73.424522,19.843243,55.107185,67.387474,59.083870,28.769167
2015-05-04,28.591200,41.229050,48.244198,12.945108,73.585846,19.982988,55.268440,66.942528,59.128010,28.804331
2015-05-05,27.946957,40.682056,48.005657,12.874238,72.962555,19.866545,54.958309,66.744781,58.921944,28.656643
2015-05-06,27.771454,39.553902,47.647846,12.826993,72.720566,19.643456,54.697842,66.713860,59.164803,28.593349
2015-05-07,27.943228,39.912853,48.080196,12.787622,73.079903,19.713903,54.331882,66.479019,59.017628,28.621485
2015-05-08,28.469707,40.810272,48.818176,12.952983,74.407143,19.972212,55.194023,67.146454,59.576908,28.818399
2015-05-11,28.179695,40.485493,48.788357,12.984476,74.084488,19.936987,54.268486,66.349251,59.069145,28.790264
2015-05-12,28.079319,40.468407,48.721264,12.937234,73.673843,19.831314,54.418579,66.472839,58.833649,28.614443
2015-05-13,28.110548,40.707706,48.840534,12.968732,73.732498,19.684546,54.130913,66.559334,58.649700,28.867603
2015-05-14,28.766397,41.639290,49.235619,13.008100,74.671112,19.925247,54.387310,67.022858,59.289921,29.184057
2015-05-15,28.726250,41.280319,49.108894,12.874238,75.015785,19.954609,54.624939,67.428581,59.643154,29.198124
2015-05-18,29.043020,41.032482,49.511433,13.000223,75.837044,19.948729,54.312263,66.567230,59.415012,29.057487
2015-05-19,29.016256,40.929253,49.951229,13.204952,76.233032,20.083757,54.399803,65.549820,59.481251,29.050457
2015-05-20,29.014027,40.929253,49.556152,13.181331,75.969048,20.136599,54.487347,65.693398,59.223694,29.078579
2015-05-21,29.310720,40.791622,49.682858,13.173459,75.651443,20.171820,54.537395,65.843201,59.172176,28.994190
2015-05-22,29.567261,40.344292,49.548702,13.189200,74.861107,20.124853,54.105881,65.468681,58.833649,28.980120
2015-05-26,28.915871,40.077625,48.997078,12.992352,74.469604,20.025049,53.374214,64.470016,58.237583,28.825424
2015-05-27,29.455727,40.955055,49.548702,13.181331,74.698616,20.136599,53.224148,64.357697,58.421585,28.916834
2015-05-28,29.397720,40.817417,49.347424,13.126210,74.713364,20.218786,53.224148,64.438820,58.377407,28.930904
2015-05-29,29.063105,40.309891,49.034344,12.992352,73.967323,20.400776,53.280422,64.288994,57.685692,28.804331
2015-06-01,29.121105,40.628170,49.257973,13.031720,73.893471,20.289236,53.236652,64.058083,58.024189,28.790264
2015-06-02,28.991711,40.361496,49.213253,13.165582,73.849182,20.248138,53.242901,64.026894,57.796089,28.825424
2015-06-03,29.027411,40.301281,49.720135,13.370927,73.930397,20.201170,53.124062,63.770950,57.810776,28.741026
2015-06-04,28.857864,39.879768,49.444351,13.252458,73.295174,20.101364,52.667564,63.284126,57.509087,28.544130
2015-06-05,28.699474,39.690525,50.256855,13.576263,72.822449,20.013308,52.705070,63.408962,56.979252,28.199537
2015-06-08,28.509857,39.337841,49.861786,13.489392,72.357094,19.948729,53.061554,62.678669,57.185272,28.241739
2015-06-09,28.425085,39.269028,50.077953,13.671038,72.541771,19.966345,52.892693,62.678669,58.060986,28.269869
2015-06-10,28.750786,40.094845,50.883011,13.892173,73.036636,20.142469,53.286671,63.558758,58.531948,28.361294
2015-06-11,28.686090,39.948593,51.076817,13.813197,73.302559,20.230532,53.211632,63.115589,58.436298,28.432184
2015-06-12,28.369312,39.544300,50.875557,13.813197,72.645157,20.083757,52.542492,62.335381,58.038918,28.332916
2015-06-15,28.313545,39.122787,50.681744,13.797403,72.009918,19.983955,52.354881,61.973377,57.487011,28.070583
2015-06-16,28.465239,39.423855,50.965008,13.860586,72.652565,19.983955,52.955215,62.441509,58.208160,28.418015
2015-06-17,28.398319,39.544300,50.793560,13.718424,72.925850,19.948729,52.986515,62.266716,58.929333,28.552731
2015-06-18,28.527699,40.189461,51.270653,13.726318,74.129852,20.177691,53.455524,62.572563,59.473896,28.822151
2015-06-19,28.242159,39.656128,50.748837,13.560469,73.760536,20.066151,53.286671,62.085720,59.267845,28.644897
2015-06-22,28.467470,39.767944,51.404823,13.797403,73.930397,20.142469,53.261665,62.597534,59.201607,28.701624
2015-06-23,28.338087,39.492691,51.993694,13.955359,73.701431,20.254009,53.199123,62.472694,58.715923,28.630720
2015-06-24,28.579016,39.260426,51.449539,13.813197,73.369041,20.095495,52.955215,61.960892,58.509880,28.496010
2015-06-25,28.442936,39.269028,51.173737,13.718424,73.213943,19.972212,52.486214,61.380413,58.421585,28.375471
2015-06-26,28.275621,38.933540,51.397354,13.750017,73.598015,19.913513,52.442444,61.542706,58.384781,28.361292
2015-06-29,27.780378,38.167931,50.092861,13.339334,72.150276,19.719767,51.792068,60.350552,57.634171,27.935873
2015-06-30,27.981152,37.978691,50.510288,13.442005,71.987801,19.684546,52.029713,60.213215,57.575310,27.815327
2015-07-01,28.242159,38.236755,51.073032,13.599961,72.733833,19.778482,51.510658,59.976021,58.664413,28.006775
2015-07-02,28.206465,38.193748,50.660347,13.449901,72.711655,19.590618,51.992195,59.838722,58.818962,27.999680
2015-07-06,28.108307,38.185143,50.517796,13.378827,72.534363,19.520168,51.610706,59.152142,58.907265,27.950047
2015-07-07,28.039154,38.107723,50.120144,13.181382,73.066223,19.801966,51.823345,59.464214,60.136173,28.538542
2015-07-08,27.343134,38.056118,49.092224,12.833874,72.216774,19.637577,51.260529,58.396900,59.598969,28.262030
2015-07-09,26.785431,38.296974,49.602428,13.015526,72.682106,19.878279,51.029140,58.534222,59.356144,28.304560
2015-07-10,27.501526,38.374393,50.307724,13.189279,73.516762,20.171820,51.416855,58.927441,59.569523,28.637804
2015-07-13,28.032463,39.174400,51.088020,13.442005,74.063347,20.441870,51.541939,59.046024,60.275993,28.829245
2015-07-14,28.021307,39.243225,51.800816,13.528879,73.701431,20.594513,51.973415,59.639000,60.371666,29.190851
2015-07-15,28.291235,39.363644,51.913349,13.963256,74.174156,20.535805,51.754547,58.821342,60.452606,29.162483
2015-07-16,28.668238,40.137852,52.190975,14.176499,74.683823,20.606249,51.848358,58.971138,60.562981,29.410658
2015-07-17,28.915871,40.103447,51.928368,14.294963,73.923035,20.588636,51.660744,58.141003,60.518826,29.247580
2015-07-20,29.462414,40.361496,51.965889,14.310761,74.137238,20.688442,51.129185,58.009937,60.482033,29.339756
